order_id,order_date
146740,01-24-19
141749,01-24-19
144400,01-24-19
148898,01-24-19
143260,01-24-19
147062,01-24-19
142652,01-24-19
148713,01-24-19
149993,01-24-19
147837,01-24-19
148084,01-24-19
144205,01-24-19
150106,01-24-19
149760,01-24-19
147384,01-24-19
146371,01-24-19
148086,01-24-19
142137,01-24-19
147957,01-24-19
146387,01-24-19
149202,01-24-19
147502,01-24-19
150093,01-24-19
144036,01-24-19
144010,01-24-19
149046,01-24-19
144286,01-24-19
145251,01-24-19
142643,01-24-19
146999,01-24-19
145986,01-24-19
145233,01-24-19
145638,01-24-19
147351,01-24-19
143821,01-24-19
148860,01-24-19
146586,01-24-19
144583,01-24-19
149608,01-24-19
146869,01-24-19
141626,01-24-19
142092,01-24-19
147804,01-24-19
143489,01-24-19
149914,01-24-19
145059,01-24-19
147699,01-24-19
149027,01-24-19
147378,01-24-19
145761,01-24-19
144724,01-24-19
141603,01-24-19
148152,01-24-19
141651,01-24-19
148530,01-24-19
147387,01-24-19
143220,01-24-19
144202,01-24-19
143545,01-24-19
144942,01-24-19
148649,01-24-19
149668,01-24-19
146354,01-24-19
149853,01-24-19
143187,01-24-19
144242,01-24-19
146708,01-24-19
147640,01-24-19
143719,01-24-19
146505,01-24-19
142641,01-24-19
147694,01-24-19
150228,01-24-19
149339,01-24-19
147604,01-24-19
144147,01-24-19
149559,01-24-19
142250,01-24-19
146478,01-24-19
147843,01-24-19
147259,01-24-19
143027,01-24-19
143998,01-24-19
146384,01-24-19
147981,01-24-19
150307,01-24-19
149894,01-24-19
144931,01-24-19
150431,01-24-19
144553,01-24-19
148936,01-24-19
147044,01-24-19
147801,01-24-19
149370,01-24-19
144069,01-24-19
143482,01-24-19
145450,01-24-19
148259,01-24-19
141999,01-24-19
147693,01-24-19
146634,01-24-19
145410,01-24-19
143040,01-24-19
147353,01-24-19
147038,01-24-19
149277,01-24-19
144169,01-24-19
143002,01-24-19
144552,01-24-19
147729,01-24-19
141845,01-24-19
142375,01-24-19
142829,01-24-19
142172,01-24-19
147827,01-24-19
142110,01-24-19
141765,01-24-19
150260,01-24-19
