order_id,product_id,cust_id,product_quantity
146740 ,614,121960,4
141749 ,394,113809,5
144400 ,953,102255,1
148898 ,715,190891,1
143260 ,467,108376,1
147062 ,981,240579,1
142652 ,981,171873,1
148713 ,826,180633,1
149993 ,614,228883,1
147837 ,877,238405,3
148084 ,877,226319,1
144205 ,406,225279,1
150106 ,406,201689,1
149760 ,715,192501,1
147384 ,406,165456,1
146371 ,406,187794,1
148086 ,406,180133,1
142137 ,692,152094,1
147957 ,715,186311,1
146387 ,981,150631,1
149202 ,981,188779,1
147502 ,582,218385,1
150093 ,394,142788,1
144036 ,435,186568,1
144010 ,443,121978,1
149046 ,467,122001,1
144286 ,981,107754,1
145251 ,394,226447,1
142643 ,406,234307,1
146999 ,692,190684,1
145986 ,692,119792,1
145233 ,968,235562,1
145638 ,715,223708,1
147351 ,467,171114,1
143821 ,981,218479,1
148860 ,277,164512,1
146586 ,614,217692,1
144583 ,406,189783,1
149608 ,406,209270,1
146869 ,406,169357,1
141626 ,953,110124,1
142092 ,467,134704,1
147804 ,277,173746,1
143489 ,277,200733,1
149914 ,582,161839,1
145059 ,582,203984,1
147699 ,614,196010,1
149027 ,692,227491,1
147378 ,467,222674,1
145761 ,467,222830,1
144724 ,981,122012,1
141603 ,277,167142,1
148152 ,406,127591,1
141651 ,406,112284,1
148530 ,953,169550,1
147387 ,715,109147,1
143220 ,467,180224,1
144202 ,981,130431,1
143545 ,435,109438,1
144942 ,435,168879,1
148649 ,715,121808,1
149668 ,715,218976,1
146354 ,981,135145,1
149853 ,981,109105,1
143187 ,614,212530,1
144242 ,406,152007,1
146708 ,422,192287,1
147640 ,422,128521,1
143719 ,692,218656,1
146505 ,692,161591,1
142641 ,443,210340,1
147694 ,981,171701,1
150228 ,493,197599,1
149339 ,277,140468,1
147604 ,614,156878,1
144147 ,692,210921,1
149559 ,953,183810,1
142250 ,981,140467,1
146478 ,277,131327,1
147843 ,394,105147,1
147259 ,692,115878,1
143027 ,443,164088,1
143998 ,582,100923,1
146384 ,406,139760,1
147981 ,953,222301,1
150307 ,715,159567,1
149894 ,614,203281,1
144931 ,443,152934,1
150431 ,715,207012,1
144553 ,826,101228,1
148936 ,422,160955,1
147044 ,168,173131,1
147801 ,168,224432,1
149370 ,692,125709,1
144069 ,968,174352,1
143482 ,715,204040,1
145450 ,692,120499,1
148259 ,692,169327,1
141999 ,443,118511,1
147693 ,443,226986,1
146634 ,715,159202,1
145410 ,981,185226,1
143040 ,981,131536,1
147353 ,406,222199,1
147038 ,692,214413,9
149277 ,715,141054,1
144169 ,981,188261,1
143002 ,981,170146,1
144552 ,277,228402,1
147729 ,277,221346,1
141845 ,692,190562,1
142375 ,394,213345,1
142829 ,406,100839,1
142172 ,953,161433,1
147827 ,443,232485,1
142110 ,715,188820,1
141765 ,981,228704,1
150260 ,582,201340,1
143080 ,953,226069,1
145948 ,715,159291,1
149708 ,277,101091,1
148080 ,277,211316,1
144877 ,582,183043,1
143669 ,406,209656,1
145172 ,692,210957,1
145171 ,953,174426,1
150157 ,715,140973,1
143818 ,715,139621,1
148864 ,467,119396,1
142087 ,877,156356,1
148189 ,715,234614,1
147595 ,981,188705,1
148681 ,493,184862,1
141506 ,614,121997,1
147649 ,406,198184,1
144148 ,443,148959,1
150160 ,443,175326,1
142166 ,715,158050,1
143926 ,277,238421,1
149036 ,394,151974,1
141421 ,394,208240,1
148266 ,953,146192,1
144977 ,715,187541,1
150482 ,715,168277,1
147231 ,981,122661,1
146185 ,277,106723,1
142287 ,277,165261,1
150368 ,614,177312,1
150141 ,877,235879,1
146156 ,168,156592,1
142810 ,406,110377,1
149270 ,715,235009,1
145230 ,277,157333,1
147049 ,277,162207,1
141616 ,406,123595,1
142921 ,692,237226,1
148261 ,692,156468,1
141343 ,467,197304,1
149044 ,981,125567,1
149598 ,692,213759,1
141948 ,443,236754,1
141963 ,467,171839,1
142140 ,981,136157,1
143330 ,981,120610,1
142062 ,277,194186,1
146701 ,582,146678,1
147170 ,394,234622,1
148052 ,394,117707,1
143348 ,467,195658,1
144408 ,981,130585,1
142058 ,582,136355,1
147247 ,614,230518,1
149230 ,406,129733,1
145790 ,406,121783,1
144751 ,715,176413,1
147203 ,467,187210,1
143779 ,277,102876,1
141972 ,582,197187,1
141733 ,877,173146,1
145702 ,394,177115,1
143706 ,435,117367,1
143653 ,715,159180,1
141830 ,715,193388,1
143565 ,981,230839,1
142886 ,614,172486,1
142881 ,168,221103,1
148192 ,953,154244,1
145303 ,715,150241,1
141794 ,467,157490,1
147406 ,467,215274,1
141932 ,981,118296,1
150258 ,168,198992,1
141578 ,467,236284,1
148667 ,981,126524,1
147200 ,981,187876,1
143584 ,277,219544,1
142758 ,877,240220,1
147906 ,953,135703,1
142981 ,953,218041,1
149965 ,443,121382,1
148756 ,715,192312,1
148267 ,981,113959,1
144425 ,981,206498,1
142148 ,493,219803,1
147941 ,422,138918,1
142338 ,168,233351,1
145250 ,692,230107,1
148692 ,443,151640,1
143294 ,277,106591,1
146878 ,614,200125,1
150006 ,168,120556,1
145368 ,443,237386,1
148433 ,715,186942,1
145192 ,277,181931,1
149048 ,277,173064,1
145964 ,582,133415,1
143193 ,168,192824,1
146522 ,953,127286,1
143676 ,406,144560,1
141490 ,443,137513,1
146581 ,493,215513,1
147544 ,277,118062,1
150259 ,277,189750,1
149561 ,614,109312,1
143085 ,394,231177,1
150437 ,692,111708,1
148328 ,953,169246,1
149218 ,981,231991,1
144222 ,953,209036,1
149670 ,443,190233,1
148251 ,443,151874,1
143162 ,467,228421,1
142662 ,277,149334,1
145515 ,277,227232,1
145824 ,277,197069,1
146268 ,614,125071,1
142428 ,715,201165,1
150134 ,981,200691,1
145916 ,981,207869,1
142645 ,981,208361,1
141682 ,493,160610,1
144815 ,277,183189,1
150002 ,614,128254,1
148634 ,953,156085,1
146409 ,953,169221,1
142167 ,715,234931,1
145411 ,715,167012,1
142906 ,467,229397,1
148103 ,981,208730,1
143510 ,277,132593,1
143560 ,406,200164,1
143729 ,692,210021,1
141251 ,953,155703,1
144656 ,953,174183,1
148610 ,953,137446,1
141612 ,953,126317,1
149438 ,277,166637,1
146210 ,277,180420,1
141709 ,614,234822,1
146342 ,981,135950,1
142418 ,826,184371,1
141413 ,406,162582,1
141859 ,406,132658,1
144820 ,406,222106,1
147569 ,692,231904,1
142606 ,953,171237,1
144388 ,443,121251,1
147093 ,715,205196,1
141840 ,715,235573,1
141615 ,277,115771,1
149841 ,406,129102,1
146500 ,406,112241,1
142446 ,953,139999,1
149819 ,467,172711,1
150012 ,981,213150,1
142695 ,981,135651,1
148746 ,277,168527,9
149685 ,277,116153,9
148062 ,614,219243,1
148781 ,692,208828,1
145732 ,692,206661,1
147492 ,715,201609,1
142885 ,406,197381,9
146888 ,406,160706,1
141320 ,406,149550,1
145697 ,406,211666,1
150234 ,953,213643,1
145332 ,715,232697,1
143838 ,467,117595,1
144701 ,493,179803,1
149374 ,493,161828,1
143200 ,422,208953,1
145119 ,715,169609,1
149136 ,493,240676,1
144170 ,826,142259,1
148904 ,582,230302,1
148198 ,692,121178,1
148417 ,692,204991,1
149089 ,467,167342,1
146400 ,493,184259,1
142198 ,406,227058,2
148114 ,692,143631,2
148336 ,692,110086,2
141370 ,692,199799,2
147300 ,406,100534,2
142065 ,692,119905,2
145365 ,981,200420,2
146142 ,692,182858,2
146813 ,406,140782,2
146421 ,406,129796,2
147214 ,692,213440,2
146579 ,406,117624,2
147479 ,406,130640,2
149285 ,406,167048,2
147567 ,692,176182,2
146132 ,406,108926,2
141351 ,715,118765,2
150179 ,692,237082,2
147617 ,715,114104,2
147033 ,715,122470,2
148409 ,981,148778,2
148973 ,692,101198,2
141466 ,692,205711,2
146188 ,715,187963,2
142733 ,692,240589,3
144780 ,406,130117,3
147730 ,692,103961,3
148718 ,406,174257,4
143205 ,692,112974,4
143416 ,692,163935,7
271432 ,277,210961,1
264277 ,406,172359,1
271989 ,692,187930,1
269082 ,953,222412,1
267229 ,715,142960,1
276552 ,981,164401,1
264197 ,277,174998,1
265024 ,826,222864,1
262903 ,614,155322,1
266428 ,394,151418,1
270739 ,422,187489,1
274201 ,953,121850,1
268188 ,443,216203,1
275292 ,467,203360,1
260615 ,981,210943,1
260253 ,981,118314,1
265711 ,981,140176,1
272375 ,493,165054,1
277525 ,614,199326,1
266704 ,877,135423,1
259603 ,406,240309,1
272877 ,406,124475,1
277150 ,692,173267,1
276731 ,953,166007,1
264641 ,953,235764,1
259699 ,715,224026,1
274116 ,981,232945,1
263587 ,981,190325,1
276271 ,493,163529,1
267432 ,614,222466,1
261061 ,394,110607,1
261787 ,406,204092,1
275278 ,406,166775,1
260909 ,168,147332,1
264377 ,692,229770,1
269657 ,692,234852,1
273750 ,953,188048,1
277388 ,467,180412,1
273376 ,981,153707,1
261269 ,981,185962,1
273452 ,277,142674,1
273053 ,406,124892,1
265914 ,422,238063,1
266105 ,422,197194,1
268421 ,692,146022,1
260495 ,953,202895,1
278721 ,953,105457,1
271435 ,443,167402,1
275923 ,443,240712,1
271690 ,981,106465,1
273314 ,981,153224,1
262686 ,981,107680,1
265584 ,277,193155,1
276769 ,877,234452,1
261052 ,394,145575,1
272324 ,406,108634,1
261408 ,406,167368,1
259428 ,406,146379,1
274905 ,168,160433,1
277379 ,953,240675,1
261426 ,953,156079,1
271883 ,715,233241,1
277034 ,715,171479,1
271344 ,467,145739,1
275106 ,981,194900,1
260596 ,277,184400,1
260724 ,277,126864,1
272261 ,826,223904,1
265787 ,826,138576,1
267127 ,582,157780,1
264282 ,582,126418,1
274167 ,877,159808,1
270509 ,394,231876,1
276285 ,406,167824,1
263531 ,692,172810,1
269714 ,953,132902,1
260950 ,467,138770,1
270896 ,467,173552,1
273017 ,467,180137,1
269094 ,981,165848,1
270463 ,826,221722,1
272852 ,582,234104,1
267368 ,614,177370,1
266513 ,406,112032,1
276815 ,692,147274,1
277864 ,953,232805,1
263067 ,953,142876,1
269680 ,953,164370,1
